name,totalCash,ebitda,totalDebt,totalRevenue,totalEsg
COP,8181000192,30218000384,16970999808,66889998336,34.86
ABT,9290000384,13121000448,16840999936,45029998592,24.98
HPQ,5385999872,6422000128,12259999744,64857001984,10.93
DUK,725000000,11816999936,71238000640,26585999360,27.63
ABBV,9962999808,27170000896,73187999744,57349001216,27.84
CVS,14993000448,18834999296,74171998208,306933006336,22.86
AIG,11543000064,21824999424,28437999616,57486999552,25.32
PM,5368000000,13646000128,27221000192,31714000896,23.79
LOW,2148000000,14312999936,33660999680,95391997952,11.49
LMT,2430000128,8622999552,11480000512,64722001920,28.36
MDT,8872999936,8760999936,23210000384,31069999104,22.66
LLY,2766000128,10424000512,16904200192,29070700544,32.4
DD,1439000064,4151000064,11729999872,17127999488,28.95
AA,1432000000,2892000000,1726000000,13127999488,24.78
BBY,965000000,3248000000,4048999936,49251000320,14.26
WM,137000000,5342000128,14062999552,19441000448,16.73
DE,3792000000,9032999936,51746000896,48327000064,16.64
FDX,6849999872,9678999552,37645000704,94750998528,20.45
CHK,17000000,2883000064,3091000064,11196999680,42.5
KMB,362000000,3307000064,8846999552,20175998976,22.05
PRU,27459000320,3983000064,34148999168,64300998656,16.21
GIS,594400000,3761499904,11561900032,19170500608,21.51
YUM,412000000,2232000000,12373000192,6679000064,20.55
MET,28622000128,5432000000,102809001984,68306001920,14.95
EMR,2528999936,4244000000,12131999744,19215998976,29.47
CL,1057000000,4192000000,7986999808,17699999744,22.12
NEE,2860999936,6594999808,63582998528,17489000448,27.53
D,2316000000,7329999872,45823000576,14931000320,25.38
ED,1132999936,4694000128,26229999616,14503000064,23.09
ADM,1204000000,5277000192,9742000128,98706997248,36.4
AFL,6867999744,5594999808,11018999808,21344999424,17.3
PSX,2808999936,7176000000,14033000448,147602997248,29.35
GD,2496000000,5321999872,13121999872,38848000000,34.88
JNPR,1057100032,724300032,1719000064,5152300032,16.6
CMG,783900992,1326909952,3729167872,8414686208,24.19
NUE,3427290112,12868270080,6710672896,43152924672,32.28
HSY,339721984,2561741056,5343383040,9724770304,27.21
CLX,183000000,942000000,3155000064,7106999808,21.08
K,380000000,2449999872,7704000000,14577999872,26.84
IP,977000000,2963000064,5955999744,20625999872,23.82
ACN,7893806080,10405497856,3325755904,61594304512,9.71
NOC,1168999936,8757000192,14501999616,34957000704,27.4
CMI,2998000128,3111000064,4974000128,24789000192,19.36
JCI,1506000000,3847000064,10776999936,24966000640,14.7
WMB,133000000,4374000128,22715000832,10894000128,23.5
CAG,67400000,1833400064,9042199552,11786900480,32.76
NSC,1214000000,6069000192,15068000256,12359999488,22.73
RCL,2102205056,-1732205056,23846017024,4682677760,21.34
MGM,5784173056,2185917952,33734037504,11768908800,25.17
NOV,1218000000,363000000,2379000064,6133000192,33.04
AKAM,690689024,1207662976,3224013056,3572669952,19.63
NTAP,3446000128,1376999936,2964999936,6451999744,15.51
GRMN,1461042944,1239206016,100181000,4945520128,18.54
APD,3335899904,3719699968,7667700224,11969699840,10.81
ECL,124900000,2726099968,9187200000,13532699648,24.09
NTR,711000000,10992000000,11703000064,34611998720,27.51
SCCO,2355699968,6132499968,7433099776,10575299584,31.56
SHW,130500000,3328399872,12445200384,21680500736,28.63
IFF,569000000,2627000064,12862000128,12634999808,22.31
PPG,1098000000,2160999936,7600999936,17656999936,24.33
LYB,1073000000,8736000000,13210000384,53525000192,24.59
VMC,120700000,1510800000,4825099776,6617800192,29.02
FNV,910600000,1127399936,0,1332899968,9.01
AEM,830160000,2369880064,1470534016,5262226944,27.6
FMC,609200000,1384199936,4042099968,5410699776,33.16
MLM,772099968,1522400000,5455000064,5539100160,32.15
WPM,448625984,818934016,2443000,1157319040,7.87
STLD,2003708032,6130141184,3035070976,22745143296,32.21
WLK,1316999936,4911000064,5361999872,15100999680,31.74
CE,790000000,2528999936,4095000064,9564999680,29.27
RPM,197574000,868422016,3093120000,6989627904,41.44
EMN,470000000,2286000128,5192999936,10912000000,24.36
ICL,516000000,3196000000,2756999936,9233000448,27.11
ASH,629000000,521000000,1420000000,2350000128,35.89
AXTA,524500000,743500032,3729999872,4784900096,25.84
EXP,84140000,664155008,1169869952,2042513024,36.67
SMG,35800000,559699968,3767099904,4168199936,36.08
NEU,71972000,396628992,1072158016,2658807040,36.14
OMC,3293400064,2360199936,6377999872,14276700160,18.18
LSXMK,494000000,2548000000,13902999552,8919000064,14.75
IPG,1983399936,1666899968,4676100096,9447799808,15.15
LBRDK,301000000,271000000,4064000000,976000000,22.06
LBTYA,4106700032,2480399872,15536700416,7429700096,23.69
PARAA,4036999936,3388999936,17323999232,29717000192,15.27
NWSA,1883000064,1418000000,4155000064,10385000448,11.24
DISH,2754159104,3367656960,23493978112,17436876800,21.44
Z,3543000064,-176424992,1890000000,10885376000,24.25
IAC,1826516992,92028000,2729867008,4771436032,26.94
TGNA,200770000,999425984,3153043968,3090138112,14.28
AZO,314148000,3712952064,9513777152,16252229632,11.34
TJX,3531212032,5483106816,12634299392,49635741696,14.43
HLT,1282000000,2108000000,9516999680,3440999936,17.53
LEN,1360414976,7312348160,5722698752,31930202112,23.06
GPC,629198016,2103517056,4042791936,21375531008,12.64
QSR,838000000,2195000064,14513000448,6130999808,24.21
TSCO,211240992,1755756032,4058746112,13517626368,13.76
ROL,121876000,556840000,399054016,2634776064,20.25
DRI,377500000,1474200064,5961099776,9770099712,28.06
ULTA,434225984,1736653952,1856696064,9368176640,15.46
DPZ,114776000,796225024,5384150016,4488139776,31.02
MGA,1664000000,3200999936,5077000192,36032999424,18.9
LKQ,265000000,1705592960,3681999872,13171504128,12.87
EXPE,5593999872,1198000000,7061000192,10670999552,25.43
NVR,1748505984,2167959040,1005420992,10072314880,20.75
SCI,206242000,1419830016,4017714944,4180884992,17.01
CCK,368000000,312000000,6886000128,12984999936,9.81
PHM,234484000,3223401984,2811749120,15416174592,20.87
BWA,1240999936,2119000064,4136000000,15347999744,13.44
TPR,953200000,1413900032,3264900096,6684499968,13.51
KMX,56772000,1418429952,19454164992,35037179904,11.97
BBWI,452000000,2179000064,6065999872,7776000000,15.74
AAP,240551008,1059585024,4048299008,11057840128,12.97
HAS,551600000,994499968,3969999872,6191600128,9.36
CPRI,221000000,1172000000,3283000064,5760999936,16.19
SEE,281200000,1151600000,3731500032,5773799936,20.8
WHR,1794000000,2128999936,5677000192,20615999488,15.8
LEA,831299968,1200899968,3281499904,19427399680,12.51
RL,1776899968,1008300032,2810599936,6332800000,13.18
ALV,483000000,887000000,1844999936,8625999872,16.95
MAT,349000000,1042104000,2854000128,5827640832,15.33
HOG,1730249984,1068486016,7171207168,5629280768,16.24
MHK,488985984,1888003968,2968721920,11746605056,14.05
PII,325900000,955400000,2240199936,8982800384,11.1
SON,174996000,952916992,3430428928,6538694144,18.23
IGT,673000000,1363000064,6695000064,4105999872,17.34
GIL,145856992,721212992,947617984,3256283904,10.17
PVH,699299968,1158499968,3678299904,9016899584,15.58
THO,311552992,1817074944,1816355968,16312524800,29.21
SIG,851699968,938099968,1354300032,7942300160,15.14
GT,1248000000,2099000064,9454000128,20107999232,19.95
TRIP,1045000000,69000000,939000000,1223000064,25.35
SABR,992977024,-359876000,4749846016,2184165120,22.37
DG,326263008,3802796032,15492726784,35346350080,17.11
BF-B,899000000,1370000000,2248000000,4033999872,22.26
HRL,868657984,1551616000,3320567040,12630081536,27.86
STZ,165100000,3532100096,10950200320,9441399808,25.79
